requirement_id,section,testability,profiles,schema_artifacts,evidence_catalogue_ids,test_ids,verification_note
GAAM-RED-005,11.3 Challenge and review,behavioural-testable,high-impact-systems,remedy.schema.json,EVD-REM-001,high-impact-remedy-valid;high-impact-no-remedy-rejected;high-impact-review-not-independent-rejected;high-impact-notice-missing-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RED-006,11.3 Challenge and review,mixed,high-impact-systems,remedy.schema.json,EVD-REM-001,high-impact-remedy-valid;high-impact-no-remedy-rejected;high-impact-review-not-independent-rejected;high-impact-notice-missing-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RED-007,11.4 Remedy,mixed,high-impact-systems,remedy.schema.json,EVD-REM-001,high-impact-remedy-valid;high-impact-no-remedy-rejected;high-impact-review-not-independent-rejected;high-impact-notice-missing-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-RED-008,11.5 Cross-framework disputes,mixed,high-impact-systems,remedy.schema.json,EVD-REM-001,high-impact-remedy-valid;high-impact-no-remedy-rejected;high-impact-review-not-independent-rejected;high-impact-notice-missing-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-MAG-001,13. Machine-actionable governance package,structural-testable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-MAG-002,13. Machine-actionable governance package,structural-testable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-MAG-003,13. Machine-actionable governance package,structural-testable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-MAG-004,13. Machine-actionable governance package,structural-testable,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-MAG-005,13. Machine-actionable governance package,procedural,foundation-or-contextual,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-PROF-001,14.7 High-Impact Systems Profile,mixed,foundation-or-contextual,profile-manifest.schema.json,EVD-STR-002,profile-composition-foundation-delegated-valid;profile-composition-missing-foundation-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-PROF-002,14.7 High-Impact Systems Profile,mixed,foundation-or-contextual,profile-manifest.schema.json,EVD-STR-002,profile-composition-foundation-delegated-valid;profile-composition-missing-foundation-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-CONF-001,15.2 Conformance claim,mixed,machine-actionable-governance,conformance-claim.schema.json,EVD-CLA-001,claim-level-evidence;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-CONF-002,15.2 Conformance claim,behavioural-testable,machine-actionable-governance,conformance-claim.schema.json,EVD-CLA-001,claim-level-evidence;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-CONF-003,15.2 Conformance claim,mixed,machine-actionable-governance,conformance-claim.schema.json,EVD-CLA-001,claim-level-evidence;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-CONF-004,15.3 Evidence of conformance,mixed,machine-actionable-governance,conformance-claim.schema.json,EVD-CLA-001,claim-level-evidence;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-CONF-005,15.4 Exceptions and compensating controls,mixed,machine-actionable-governance,conformance-claim.schema.json,EVD-CLA-001,claim-level-evidence;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-CONF-006,15.5 Non-conformance,mixed,machine-actionable-governance,conformance-claim.schema.json,EVD-CLA-001,claim-level-evidence;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-SEC-001,"16. Security, privacy and resilience considerations",mixed,foundation-or-contextual,,EVD-SEC-001,package-integrity,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-SEC-002,"16. Security, privacy and resilience considerations",mixed,foundation-or-contextual,,EVD-SEC-001,package-integrity,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-PRIV-001,"16. Security, privacy and resilience considerations",structural-testable,foundation-or-contextual,,EVD-PRI-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-PRIV-002,"16. Security, privacy and resilience considerations",structural-testable,foundation-or-contextual,,EVD-PRI-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-RES-001,"16. Security, privacy and resilience considerations",reviewable,foundation-or-contextual,,EVD-OPS-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-ART-001,18.1 Canonical authority records,structural-testable,delegated-authority;foundation;machine-actionable-governance,gaam-package.schema.json,EVD-INT-001,package-integrity,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ART-002,18.1 Canonical authority records,structural-testable,delegated-authority;foundation;machine-actionable-governance,gaam-package.schema.json,EVD-INT-001,package-integrity,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ART-003,18.1 Canonical authority records,structural-testable,delegated-authority;foundation;machine-actionable-governance,gaam-package.schema.json,EVD-INT-001,package-integrity,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ART-004,18.2 Canonical delegation records,structural-testable,delegated-authority;foundation;machine-actionable-governance,gaam-package.schema.json,EVD-INT-001,package-integrity,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ART-005,18.2 Canonical delegation records,behavioural-testable,delegated-authority;foundation;machine-actionable-governance,gaam-package.schema.json,EVD-INT-001,package-integrity,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ART-006,18.2 Canonical delegation records,behavioural-testable,delegated-authority;foundation;machine-actionable-governance,gaam-package.schema.json,EVD-INT-001,package-integrity,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-LIFE-001,18.3 Governance artifact lifecycles,mixed,continuous-assurance;delegated-authority;foundation;machine-actionable-governance;runtime-governance,governance-event.schema.json,EVD-LIF-001,authority-revoked-rejected;authority-expired-rejected;lifecycle-event-order-invalid-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-LIFE-002,18.3 Governance artifact lifecycles,mixed,continuous-assurance;delegated-authority;foundation;machine-actionable-governance;runtime-governance,governance-event.schema.json,EVD-LIF-001,authority-revoked-rejected;authority-expired-rejected;lifecycle-event-order-invalid-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-LIFE-003,18.3 Governance artifact lifecycles,mixed,continuous-assurance;delegated-authority;foundation;machine-actionable-governance;runtime-governance,governance-event.schema.json,EVD-LIF-001,authority-revoked-rejected;authority-expired-rejected;lifecycle-event-order-invalid-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-LIFE-004,18.3 Governance artifact lifecycles,behavioural-testable,continuous-assurance;delegated-authority;foundation;machine-actionable-governance;runtime-governance,governance-event.schema.json,EVD-LIF-001,authority-revoked-rejected;authority-expired-rejected;lifecycle-event-order-invalid-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-LIFE-005,18.3 Governance artifact lifecycles,mixed,continuous-assurance;delegated-authority;foundation;machine-actionable-governance;runtime-governance,governance-event.schema.json,EVD-LIF-001,authority-revoked-rejected;authority-expired-rejected;lifecycle-event-order-invalid-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ASR-001,18.4 Assurance expressions,mixed,continuous-assurance,assurance.schema.json,EVD-ASS-001,claim-level-evidence;assurance-expired-rejected;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ASR-002,18.4 Assurance expressions,mixed,continuous-assurance,assurance.schema.json,EVD-ASS-001,claim-level-evidence;assurance-expired-rejected;assurance-independence-insufficient-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-ASR-003,18.4 Assurance expressions,behavioural-testable,continuous-assurance,assurance.schema.json,EVD-ASS-001,claim-level-evidence;assurance-expired-rejected;assurance-independence-insufficient-rejected;future-assurance-composition-bounded-valid,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-PCOMP-001,18.5 Profile composition,mixed,foundation-or-contextual,profile-manifest.schema.json,EVD-STR-002,profile-composition-foundation-delegated-valid;profile-composition-missing-foundation-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-PCOMP-002,18.5 Profile composition,mixed,foundation-or-contextual,profile-manifest.schema.json,EVD-STR-002,profile-composition-foundation-delegated-valid;profile-composition-missing-foundation-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-PROF-003,18.5 Profile composition,mixed,foundation-or-contextual,profile-manifest.schema.json,EVD-STR-002,profile-composition-foundation-delegated-valid;profile-composition-missing-foundation-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-PROF-004,18.5 Profile composition,mixed,foundation-or-contextual,profile-manifest.schema.json,EVD-STR-002,profile-composition-foundation-delegated-valid;profile-composition-missing-foundation-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-OUT-001,18.6 Decision outcomes and receipts,behavioural-testable,agentic-systems;foundation;high-impact-systems;machine-actionable-governance;runtime-governance,,EVD-DEC-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-OUT-002,18.6 Decision outcomes and receipts,behavioural-testable,agentic-systems;foundation;high-impact-systems;machine-actionable-governance;runtime-governance,,EVD-DEC-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-OUT-003,18.6 Decision outcomes and receipts,structural-testable,agentic-systems;foundation;high-impact-systems;machine-actionable-governance;runtime-governance,,EVD-DEC-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-DEC-004,18.6 Decision outcomes and receipts,structural-testable,agentic-systems;foundation;high-impact-systems;machine-actionable-governance;runtime-governance,decision-receipt.schema.json,EVD-DEC-001,decision-traceable-valid;decision-missing-evidence-rejected;decision-stale-evidence-rejected;decision-policy-superseded-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-SAFE-001,"18.7 Privacy, safety and affected-party protections",structural-testable,agentic-systems;high-impact-systems;runtime-governance,,EVD-SEC-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-SAFE-002,"18.7 Privacy, safety and affected-party protections",reviewable,agentic-systems;high-impact-systems;runtime-governance,,EVD-SEC-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-SAFE-003,"18.7 Privacy, safety and affected-party protections",reviewable,agentic-systems;high-impact-systems;runtime-governance,,EVD-SEC-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-APR-001,"18.7 Privacy, safety and affected-party protections",reviewable,high-impact-systems,,EVD-REM-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-APR-002,"18.7 Privacy, safety and affected-party protections",behavioural-testable,high-impact-systems,,EVD-REM-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-APR-003,"18.7 Privacy, safety and affected-party protections",behavioural-testable,high-impact-systems,,EVD-REM-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-SYS-001,"18.7 Privacy, safety and affected-party protections",structural-testable,high-impact-systems,,EVD-OPS-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-SYS-002,"18.7 Privacy, safety and affected-party protections",procedural,high-impact-systems,,EVD-OPS-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-MKT-001,18.8 Market integrity and recognition,mixed,high-impact-systems;trust-graph,,EVD-INTOP-001,profile-composition-foundation-delegated-valid,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-MKT-002,18.8 Market integrity and recognition,behavioural-testable,high-impact-systems;trust-graph,,EVD-INTOP-001,profile-composition-foundation-delegated-valid,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-MKT-003,18.8 Market integrity and recognition,mixed,high-impact-systems;trust-graph,,EVD-INTOP-001,profile-composition-foundation-delegated-valid,"Automated fixtures supplement, but do not replace, contextual review."
